sequence;Service_Level;Inquiry_type;piority;Time_opened;Time_closed;Duration
0;Estandar;Facturacion;alta;2023-07-01 00:02:04.737134;2023-07-01 00:02:45.082712;0 days 00:00:40.345578
1;Estandar;Facturacion;media;2023-07-01 00:04:45.720830;2023-07-01 00:07:25.066269;0 days 00:02:39.345439
2;Normal;Informacion;alta;2023-07-01 00:05:24.359657;2023-07-01 00:10:54.070363;0 days 00:05:29.710706
3;Normal;Queja;baja;2023-07-01 00:08:25.083178;2023-07-01 00:08:41.450646;0 days 00:00:16.367468
4;Urgente;Informacion;media;2023-07-01 00:10:24.371295;2023-07-01 00:14:54.740905;0 days 00:04:30.369610
5;Estandar;Facturacion;media;2023-07-01 00:10:35.793007;2023-07-01 00:10:52.677962;0 days 00:00:16.884955
6;Urgente;Falla;alta;2023-07-01 00:13:15.938487;2023-07-01 00:14:33.457073;0 days 00:01:17.518586
7;Urgente;Informacion;alta;2023-07-01 00:22:01.891529;2023-07-01 00:22:45.717888;0 days 00:00:43.826359
8;Urgente;Queja;media;2023-07-01 00:26:25.358323;2023-07-01 00:31:51.556083;0 days 00:05:26.197760
9;Normal;Falla;media;2023-07-01 00:42:50.912705;2023-07-01 00:47:50.078250;0 days 00:04:59.165545
10;Normal;Informacion;alta;2023-07-01 00:43:09.387956;2023-07-01 00:45:19.355899;0 days 00:02:09.967943
11;Estandar;Informacion;alta;2023-07-01 00:47:09.274332;2023-07-01 00:52:25.996084;0 days 00:05:16.721752
12;Estandar;Informacion;baja;2023-07-01 00:53:41.541457;2023-07-01 00:58:40.481449;0 days 00:04:58.939992
13;Normal;Falla;alta;2023-07-01 00:53:42.993541;2023-07-01 00:56:16.375292;0 days 00:02:33.381751
14;Normal;Facturacion;baja;2023-07-01 01:02:31.195590;2023-07-01 01:04:58.128082;0 days 00:02:26.932492
15;Urgente;Informacion;baja;2023-07-01 01:02:39.220604;2023-07-01 01:03:20.371323;0 days 00:00:41.150719
16;Urgente;Falla;baja;2023-07-01 01:11:23.249264;2023-07-01 01:15:00.396760;0 days 00:03:37.147496
17;Estandar;Facturacion;alta;2023-07-01 01:13:39.441654;2023-07-01 01:14:46.671875;0 days 00:01:07.230221
18;Estandar;Informacion;media;2023-07-01 01:29:53.016745;2023-07-01 01:32:26.913019;0 days 00:02:33.896274
19;Urgente;Queja;media;2023-07-01 01:29:55.280011;2023-07-01 01:35:52.068610;0 days 00:05:56.788599
20;Normal;Informacion;media;2023-07-01 01:47:48.215733;2023-07-01 01:48:04.930931;0 days 00:00:16.715198
21;Urgente;Informacion;media;2023-07-01 01:48:56.406334;2023-07-01 01:53:33.564433;0 days 00:04:37.158099
22;Estandar;Falla;baja;2023-07-01 01:55:23.214809;2023-07-01 01:57:18.663585;0 days 00:01:55.448776
23;Urgente;Informacion;alta;2023-07-01 01:57:52.905778;2023-07-01 02:00:40.821371;0 days 00:02:47.915593
24;Estandar;Falla;alta;2023-07-01 01:58:50.580476;2023-07-01 01:59:43.320092;0 days 00:00:52.739616
25;Normal;Queja;media;2023-07-01 02:08:44.498988;2023-07-01 02:09:39.000635;0 days 00:00:54.501647
26;Normal;Falla;media;2023-07-01 02:16:49.678247;2023-07-01 02:17:54.017820;0 days 00:01:04.339573
27;Normal;Falla;media;2023-07-01 02:20:18.630054;2023-07-01 02:21:50.323344;0 days 00:01:31.693290
28;Urgente;Informacion;media;2023-07-01 02:21:44.686395;2023-07-01 02:24:43.874057;0 days 00:02:59.187662
29;Normal;Falla;media;2023-07-01 02:23:16.897818;2023-07-01 02:25:32.684110;0 days 00:02:15.786292
30;Normal;Falla;alta;2023-07-01 02:25:15.284613;2023-07-01 02:30:11.468280;0 days 00:04:56.183667
31;Urgente;Facturacion;media;2023-07-01 02:26:11.293200;2023-07-01 02:29:46.016417;0 days 00:03:34.723217
32;Estandar;Queja;alta;2023-07-01 02:29:50.246359;2023-07-01 02:35:33.409770;0 days 00:05:43.163411
33;Estandar;Falla;alta;2023-07-01 02:35:42.189790;2023-07-01 02:38:51.669436;0 days 00:03:09.479646
34;Urgente;Facturacion;baja;2023-07-01 02:36:12.313712;2023-07-01 02:38:47.829741;0 days 00:02:35.516029
35;Estandar;Informacion;alta;2023-07-01 02:43:13.056047;2023-07-01 02:44:42.141697;0 days 00:01:29.085650
