Sequence;Service_Level;Inquiry_type;piority;Time_opened;Time_closed;Duration
0;Estandar;Facturacion;alta;2023-07-01 00:02:04.737134;2023-07-01 00:02:24.706049;19.968915
1;Estandar;Facturacion;media;2023-07-01 00:04:45.720830;2023-07-01 00:09:41.528316;295.807486
2;Normal;Informacion;alta;2023-07-01 00:05:24.359657;2023-07-01 00:08:37.655836;193.296179
3;Normal;Queja;baja;2023-07-01 00:08:25.083178;2023-07-01 00:12:09.828078;224.7449
4;Urgente;Informacion;media;2023-07-01 00:10:24.371295;2023-07-01 00:23:02.414703;758.043408
5;Estandar;Facturacion;media;2023-07-01 00:10:35.793007;2023-07-01 00:11:44.545029;68.752022
6;Urgente;Falla;alta;2023-07-01 00:13:15.938487;2023-07-01 00:21:16.130366;480.191879
7;Urgente;Informacion;alta;2023-07-01 00:22:01.891529;2023-07-01 00:23:02.487427;60.595898
8;Urgente;Queja;media;2023-07-01 00:26:25.358323;2023-07-01 00:26:57.640946;32.282623
9;Normal;Falla;media;2023-07-01 00:42:50.912705;2023-07-01 00:46:07.195924;196.283219
10;Normal;Informacion;alta;2023-07-01 00:43:09.387956;2023-07-01 00:44:14.262144;64.874188
11;Estandar;Informacion;alta;2023-07-01 00:47:09.274332;2023-07-01 00:56:14.723476;545.449144
12;Estandar;Informacion;baja;2023-07-01 00:53:41.541457;2023-07-01 00:59:18.089897;336.54844
13;Normal;Falla;alta;2023-07-01 00:53:42.993541;2023-07-01 01:00:30.595046;407.601505
14;Normal;Facturacion;baja;2023-07-01 01:02:31.195590;2023-07-01 01:05:13.854980;162.65939
15;Urgente;Informacion;baja;2023-07-01 01:02:39.220604;2023-07-01 01:10:07.887072;448.666468
16;Urgente;Falla;baja;2023-07-01 01:11:23.249264;2023-07-01 01:11:32.979985;9.730721
17;Estandar;Facturacion;alta;2023-07-01 01:13:39.441654;2023-07-01 01:16:45.094262;185.652608
18;Estandar;Informacion;media;2023-07-01 01:29:53.016745;2023-07-01 01:36:58.375931;425.359186
19;Urgente;Queja;media;2023-07-01 01:29:55.280011;2023-07-01 01:36:52.420614;417.140603
20;Normal;Informacion;media;2023-07-01 01:47:48.215733;2023-07-01 01:49:30.155685;101.939952
21;Urgente;Informacion;media;2023-07-01 01:48:56.406334;2023-07-01 01:58:33.382482;576.976148
22;Estandar;Falla;baja;2023-07-01 01:55:23.214809;2023-07-01 01:59:14.896224;231.681415
23;Urgente;Informacion;alta;2023-07-01 01:57:52.905778;2023-07-01 02:07:13.985915;561.080137
