GSE;Skill;Objective;Source
56;Reading; Can recognise significant points and arguments in straightforward newspaper articles on familiar topics. ;(Ca)
27;Speaking;Can accept offers using basic fixed expressions. ;(P)
63;Speaking;Can accurately describe a problem with a product or piece of equipment. ;(P)
25;Speaking;Can accurately repeat clearly spoken words, phrases, and short sentences. ;(P)
67;Speaking;Can adjust to the changes of direction, style and emphasis normally found in conversation. ;(C)
66;Writing;Can adopt a level of formality appropriate to the circumstances. ;(N2000)
34;Speaking;Can agree or refuse to lend things using basic fixed expressions. ;(P)
24;Speaking;Can agree to simple requests using a few basic fixed expressions. ;(P)
90;Speaking;Can analyse and discuss the persuasiveness of contrasting arguments in a linguistically complex article. ;(P)
76;Speaking;Can answer questions about abstract topics clearly and in detail. ;(Ca)
74;Speaking;Can answer questions in a survey using linguistically complex language. ;(P)
54;Speaking;Can answer simple factual questions about a presentation they have given. ;(P)
29;Speaking;Can answer simple questions about habits and routines. ;(P)
22;Speaking;Can answer simple questions about objects (e.g. ‘colour’, ‘size’). ;(P)
33;Speaking;Can answer simple questions about quantities and amounts, given help with vocabulary. ;(P)
28;Speaking;Can answer simple questions about the location of people or things in a limited way. ;(P)
28;Speaking;Can answer simple questions about their daily activities or routines, given a model. ;(P)
35;Speaking;Can answer simple questions about their life and experiences. ;(P)
41;Speaking;Can answer simple questions about work experience or education using simple language.  ;(P)
37;Speaking;Can answer simple questions and respond to simple statements in an interview. ;(C)
34;Speaking;Can answer simple questions in a face-to-face survey. ;(P)
34;Speaking;Can answer simple questions on the phone using fixed expressions. ;(P)
46;Speaking;Can arrange a delivery time on the phone. ;(P)
58;Speaking;Can ask a question in a different way if misunderstood. ;(N2007a)
42;Speaking;Can ask about someone’s work experience or education using simple language. ;(P)
31;Speaking;Can ask about the location of places in a town, using simple language. ;(P)
19;Speaking;Can ask about the price of something. ;(P)
22;Speaking;Can ask and answer basic questions about family and friends in a limited way. ;(P)
16;Speaking;Can ask and answer basic requests for information with ‘What’s this/that?’ ;(P)
38;Speaking;Can ask and answer questions about basic plans and intentions. ;(P)
38;Speaking;Can ask and answer questions about habits and routines. ;(C)
40;Speaking;Can ask and answer questions about past times and past activities. ;(C)
35;Speaking;Can ask and answer questions about what they do at work and in their free time. ;(C)
28;Speaking;Can ask and answer simple questions about people they know in a limited way. ;(Ca)
21;Speaking;Can ask and answer simple questions about things they have in a limited way. ;(Ca)
25;Speaking;Can ask and answer simple questions in areas of immediate need or on very familiar topics. ;(Ca)
36;Speaking;Can ask and talk about very basic symptoms and ailments (e.g. ‘cold’, ‘flu’). ;(P)
30;Speaking;Can ask basic questions about colour, size, price etc. when shopping. ;(CSEa)
26;Speaking;Can ask basic questions about objects (e.g. ‘colour’, ‘size’). ;(P)
72;Speaking;Can ask detailed questions about specific points in a presentation or lecture. ;(P)
70;Speaking;Can ask detailed questions in discussions on contemporary social issues and current affairs. ;(CSEa)
24;Speaking;Can ask for a drink or food in a limited way. ;(P)
57;Speaking;Can ask for advice on a wide range of subjects. ;(P)
20;Speaking;Can ask for and give a date of birth. ;(P)
17;Speaking;Can ask for and give a phone number. ;(P)
40;Speaking;Can ask for and give or refuse permission. ;(N2000)
19;Speaking;Can ask for and give the day and date. ;(N2000a)
25;Speaking;Can ask for and give very basic information about the home. ;(P)
35;Speaking;Can ask for and provide everyday goods and services. ;(C)
31;Speaking;Can ask for and provide things using simple phrases. ;(Ca)
29;Speaking;Can ask for attention. ;(C)
